#day	hr	T 0.1 d.C.
1	1	137
1	2	124
1	3	130
1	4	128
1	5	141
1	6	127
1	7	153
1	8	137
1	9	158
1	10	166
1	11	169
1	12	148
1	13	166
1	14	167
1	15	166
1	16	160
1	17	156
1	18	151
1	19	142
1	20	141
1	21	140
1	22	141
1	23	140
1	24	136
2	1	136
2	2	135
2	3	135
2	4	137
2	5	138
2	6	145
2	7	145
2	8	143
2	9	142
2	10	154
2	11	151
2	12	160
2	13	165
2	14	159
2	15	157
2	16	155
2	17	148
2	18	147
2	19	146
2	20	143
2	21	134
2	22	137
2	23	136
2	24	135
3	1	137
3	2	135
3	3	133
3	4	133
3	5	137
3	6	141
3	7	144
3	8	152
3	9	159
3	10	160
3	11	169
3	12	172
3	13	163
3	14	165
3	15	167
3	16	158
3	17	154
3	18	147
3	19	144
3	20	140
3	21	140
3	22	136
3	23	134
3	24	134
4	1	135
4	2	134
4	3	137
4	4	135
4	5	137
4	6	141
4	7	147
4	8	152
4	9	156
4	10	171
4	11	168
4	12	166
4	13	175
4	14	179
4	15	170
4	16	169
4	17	162
4	18	154
4	19	149
4	20	139
4	21	136
4	22	123
4	23	113
4	24	104
5	1	130
5	2	133
5	3	135
5	4	133
5	5	140
5	6	149
5	7	153
5	8	158
5	9	165
5	10	174
5	11	173
5	12	179
5	13	181
5	14	175
5	15	178
5	16	184
5	17	180
5	18	181
5	19	173
5	20	173
5	21	167
5	22	171
5	23	175
5	24	172
6	1	171
6	2	169
6	3	167
6	4	166
6	5	169
6	6	165
6	7	173
6	8	171
6	9	185
6	10	180
6	11	186
6	12	180
6	13	193
6	14	188
6	15	194
6	16	191
6	17	178
6	18	172
6	19	166
6	20	155
6	21	149
6	22	147
6	23	145
6	24	151
7	1	153
7	2	157
7	3	164
7	4	167
7	5	165
7	6	168
7	7	180
7	8	189
7	9	200
7	10	207
7	11	208
7	12	206
7	13	204
7	14	200
7	15	208
7	16	207
7	17	200
7	18	198
7	19	191
7	20	176
7	21	164
7	22	170
7	23	179
7	24	166
8	1	160
8	2	157
8	3	159
8	4	162
8	5	161
8	6	168
8	7	175
8	8	182
8	9	178
8	10	176
8	11	184
8	12	186
8	13	179
8	14	161
8	15	178
8	16	190
8	17	194
8	18	188
8	19	182
8	20	172
8	21	176
8	22	154
8	23	156
8	24	166
9	1	166
9	2	164
9	3	160
9	4	162
9	5	166
9	6	161
9	7	156
9	8	131
9	9	138
9	10	150
9	11	167
9	12	176
9	13	175
9	14	179
9	15	181
9	16	182
9	17	179
9	18	175
9	19	168
9	20	163
9	21	160
9	22	159
9	23	159
9	24	158
10	1	157
10	2	150
10	3	153
10	4	157
10	5	162
10	6	173
10	7	180
10	8	190
10	9	191
10	10	194
10	11	193
10	12	200
10	13	188
10	14	187
10	15	186
10	16	183
10	17	186
10	18	175
10	19	165
10	20	150
10	21	133
10	22	120
10	23	119
10	24	134
